year,cars,luxury clothes,other,social media,electronics,alcohol and smoke,food,persons
1993,0,0,0,0,0,1,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,1,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,1,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,1,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,3,0,0,0,0,0,0,0
2005,2,1,0,0,0,1,0,2
2006,1,3,2,0,0,0,0,0
2007,0,1,0,0,0,0,0,0
2008,0,0,1,0,0,0,1,0
2009,4,0,0,1,1,0,0,0
2010,0,3,2,2,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,1,0,3,2,1,0,0,0
2013,1,0,0,1,0,0,1,0
2014,1,0,0,0,1,0,0,0
2015,1,0,1,0,0,0,0,1
2016,0,0,0,1,1,0,0,0
2017,1,0,2,1,1,0,1,0
2018,8,11,6,8,1,3,1,0
2019,7,9,6,10,2,0,3,1
2020,14,12,7,8,0,3,2,2
2021,20,16,15,8,1,3,3,1
2022,12,10,7,5,4,0,2,2
2023,9,12,9,1,3,1,0,2
2024,16,7,7,5,4,4,4,2
2025,37,32,22,14,11,13,7,4
